name,bfs_nummer,relation,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area,quality_category
Unterlunkhofen,4079,https://osm.org/relation/1684448,0.9942389226958775,0.10016174046458343,10.49124247773306,0.5780613783206622,4487647.534165759,4492142.440041895,Excellent
Rechthalten,2301,https://osm.org/relation/1683385,0.9967901016651888,0.1447702296632826,60.71496052166251,0.3217385563688453,7305729.349988037,7316305.871146592,Excellent
Aeschi (SO),2511,https://osm.org/relation/1683474,0.6963642635193528,30.274265872048417,2242.8112885947353,30.37955903099635,5476719.0615910385,3818682.5718198125,Poor
Cortaillod,6408,https://osm.org/relation/1685476,0.988287902707475,0.849590891237416,107.81341163152416,1.1831133441382993,3697260.0312420833,3728671.6156928777,Excellent
Mumpf,4255,https://osm.org/relation/1684369,0.9918657064683676,0.41382168643687245,52.78202638368436,0.8150612533702126,3136162.5138230193,3123184.393218916,Excellent
Dietwil,4231,https://osm.org/relation/1684292,0.9960200142000936,0.05409339569109334,11.839347326868781,0.39890003369900784,5491952.143803347,5494922.92720766,Excellent
Flumenthal,2545,https://osm.org/relation/1683505,0.9984778262807925,0.01020865957739733,3.273289242471748,0.15234108639642635,3105947.717275366,3106264.792904475,Excellent
Davos,3851,https://osm.org/relation/1684068,0.9997281089309489,0.0006325988358751708,22.230333500068934,0.027192717634451226,284001810.4379151,284000013.8457684,Excellent
Pieterlen,392,https://osm.org/relation/1682605,0.9989908980814705,0.01747055605232173,3.3171427336483403,0.10095231265337343,8354631.304577433,8353171.704032402,Excellent
Küttigen,4008,https://osm.org/relation/1684346,0.9975451418166231,0.0234279133299352,14.402772275288942,0.2457587136298971,11894822.423323378,11892035.714635292,Excellent
Mont-Vully,2284,https://osm.org/relation/5817420,0.9994985124626286,0.004994719418915316,2.966090785565632,0.05016007866950397,24336941.49937409,24335725.937431052,Excellent
Mammern,4826,https://osm.org/relation/1684541,0.9978957199226081,0.010931434779773732,4.013045978155012,0.2106611541743925,5455630.215619006,5456226.594277852,Excellent
Vufflens-le-Château,5653,https://osm.org/relation/1685199,0.9933513466773588,0.019244336393939104,15.885188492401817,0.6670187460043682,2134530.101144495,2134119.324991401,Excellent
Tolochenaz,5649,https://osm.org/relation/1685164,0.9991783995446972,0.02769056844523279,7.740019766758981,0.08218243079971131,5600565.138752958,5599014.310429892,Excellent
Avegno Gordevio,5324,https://osm.org/relation/1684620,0.9930848215458342,0.18527546417432816,79.95702045514977,0.6932742967074561,27332305.65451448,27281665.598343533,Excellent
Braunau,4723,https://osm.org/relation/1684510,0.9984616534335453,0.004159891772180205,4.927997829801584,0.1539562753766785,9170493.235630974,9170874.718224552,Excellent
Champéry,6151,https://osm.org/relation/1685287,0.9979637409504751,0.1107256147402463,81.43505040016615,0.2039462817009468,38845518.49352269,38888530.43267368,Excellent
Acquarossa,5048,https://osm.org/relation/1684610,0.9920851723757219,0.21755276658086276,202.76901688397956,0.7937630650215397,61782519.66719171,61648110.086392365,Excellent
Inwil,1033,https://osm.org/relation/1682882,0.9989448435594748,0.007174111626070194,3.2713498551961173,0.10556755428980397,10317105.416156316,10316365.255497182,Excellent
Bernex,6607,https://osm.org/relation/1685451,0.9983831237180203,0.011702483296852804,5.986743327517169,0.16180898001515084,12954228.936182452,12952712.96970496,Excellent
Commugny,5711,https://osm.org/relation/1684914,0.9974536821424179,0.06003820609705558,14.600659156773842,0.2548798501371011,6528818.856711662,6524899.070990766,Excellent
Wiesendangen,298,https://osm.org/relation/3411226,0.9991591216239731,0.02019806892518414,12.627095380825349,0.08411471066365776,19174516.670451887,19170643.78835872,Excellent
Yvonand,5939,https://osm.org/relation/1685207,0.9992244046145132,0.01640825298461278,12.894057330570242,0.07758326207603954,20826438.966450814,20823021.711657513,Excellent
Benken (ZH),22,https://osm.org/relation/1682088,0.9976042701250588,0.050691882097724024,13.697831318004305,0.23992110259888924,5656994.136288582,5659861.773086425,Excellent
Cornaux,6451,https://osm.org/relation/1685474,0.9985136061930301,0.036950141116944064,3.8067217761507055,0.1487774128399771,4727198.484408529,4728945.190919396,Excellent
Hirschthal,4007,https://osm.org/relation/1684328,0.9959824690964506,0.014671085607787843,10.252887802995092,0.40259127256437627,3530060.2313570436,3530578.1295155925,Excellent
Essertines-sur-Yverdon,5520,https://osm.org/relation/1684966,0.9977813983356386,0.024421022183791823,18.774210239719828,0.22207942907124933,9754557.249477975,9752175.08688815,Excellent
Rottenschwil,4238,https://osm.org/relation/1684407,0.9950136376489094,0.23264926496354374,10.49124247773306,0.49930104631094885,4493472.539747541,4483018.5089124795,Excellent
Boussens,5473,https://osm.org/relation/1684865,0.9549962636376992,0.09090011070107232,227.59722705987318,4.601879090603805,3156144.8304574704,3153275.8913126984,Good
Ramsen,2963,https://osm.org/relation/1683692,0.9936847337197398,0.04991174421779896,38.96061038132913,0.6336851763167534,13495841.202717196,13502577.212458337,Excellent
Rolle,5861,https://osm.org/relation/1685122,0.9995985452747087,0.005931377140108539,3.532062047032414,0.04015234161308526,13508743.002922919,13507941.748428527,Excellent
Mandach,4105,https://osm.org/relation/1684358,0.9951190575354848,0.0575479741963573,12.811511110931752,0.48942912833490526,5540921.474211058,5544110.162271277,Excellent
Altdorf (UR),1201,https://osm.org/relation/1683055,0.9988557220359127,0.01818113206145682,3.5731895233421436,0.1144828944010321,10206103.64358301,10204248.058401242,Excellent
Gampel-Bratsch,6118,https://osm.org/relation/1685309,0.9979463785473393,0.008796153007657556,43.12118964642203,0.20558227133178078,23035414.308126554,23037440.538415045,Excellent
Oulens-sous-Echallens,5529,https://osm.org/relation/1685088,0.9983251818869202,0.024793666350816843,7.961470793375944,0.167642959481263,5867707.511827034,5869162.331649958,Excellent
Kaisten,4169,https://osm.org/relation/1684338,0.9966343190596382,0.10076157349917698,65.60898276981823,0.3369655877105993,18089728.939951472,18071501.44442984,Excellent
Trub,908,https://osm.org/relation/1682691,0.9994887356215029,0.0011595612441408305,4.608495184113277,0.051139214257791284,61987137.27765892,61986418.49883869,Excellent
Pohlern,936,https://osm.org/relation/1682607,0.9993956827364663,0.007176975034831443,12.713646463337383,0.06045216108055088,9866380.414899455,9867088.522558674,Excellent
Hinwil,117,https://osm.org/relation/1682138,0.998595043383453,0.010948270133154376,35.57343153391927,0.14060212251817197,22281571.7403876,22284011.18705165,Excellent
Blatten,6192,https://osm.org/relation/1685279,0.9983242179237807,0.053177210096633544,53.93027582797829,0.16767414357658195,90511427.38150449,90463295.92960437,Excellent
Ringgenberg (BE),590,https://osm.org/relation/1682621,0.9624373760207419,3.6761247368504613,113.57076422522228,3.898524243640372,8880529.281675553,9206988.615362477,Good
Dürnten,113,https://osm.org/relation/1682112,0.9984629136092702,0.02837654502694629,31.248136519285115,0.1538486870350902,10217914.261902956,10220813.7529443,Excellent
Montilliez,5540,https://osm.org/relation/1868687,0.998634127423032,0.018785882548833267,12.697586442341454,0.13669344016866164,11860795.61517334,11863023.770306963,Excellent
