name,country,relation,bfs_nummer,bezirksnummer,kantonsnummer,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area
Triesenberg,LI,1155948,7004,,,0.9999964827624134,4.0665770329883755e-05,0.017,0.0003517244486298011,29688548.026683692,29688560.099760447
Blatten,CH,1685279,6192,2309,23,0.9999818932911253,0.00021336592217541844,2.758,0.0018106892120488877,90511427.38150449,90511620.5020462
Ringgenberg (BE),CH,1682621,590,250,2,0.9999957684555733,0.00010848155973480623,0.015,0.0004231551082509681,8880529.281675553,8880519.647938875
Dürnten,CH,1682112,113,105,1,0.9999956277187955,1.6205338558218778e-05,0.016,0.00043722911166234086,10217914.261902956,10217915.917750556
Montilliez,CH,1868687,5540,2223,22,0.9999953168406809,7.180474578100705e-05,0.017,0.0004683171968835217,11860795.61517334,11860804.131787479
Deitingen,CH,1683493,2516,1106,11,0.9995247179787355,0.029876919258986848,2.535,0.04753239779217815,7599334.767613554,7597064.320500814
Arlesheim,CH,1683616,2763,1301,13,0.9999960212704765,5.304413320165749e-05,0.015,0.00039787384946395374,6928282.71193,6928286.3869775105
Eggerberg,CH,1685295,6004,2301,23,0.9995320147020911,0.013976612172140326,2.941,0.046812754055664194,6047180.026961103,6048025.217860823
Siglistorf,CH,1684426,4319,1911,19,0.999994596841447,1.849401710962215e-05,0.014,0.0005403173648987096,5513011.504311459,5513012.52388875
Bardonnex,CH,1685449,6605,,25,0.9999944092415638,5.642949730596825e-05,0.015,0.000559077564245717,4997033.955873444,4997036.775674585
Bettlach,CH,1683481,2543,1107,11,0.999878835882488,0.000639070525832921,0.527,0.012117184551452536,12192793.044167994,12192870.964714615
Boécourt,CH,1685577,6702,2601,26,0.9999970437583822,4.035086832512464e-05,0.016,0.00029562453918533215,12347074.202900022,12347069.220748369
Le Cerneux-Péquignot,CH,1685503,6434,,24,0.999995830185259,2.9795103610740625e-05,0.019,0.0004169822813638678,15696307.759187244,15696303.082456084
Schellenberg,LI,1155946,7011,,,0.9999915581482448,0.00016315760083766622,0.014,0.0008441880500174216,3558531.7698595016,3558525.963844441
Port-Valais,CH,1685352,6154,2308,23,0.9999976783606782,4.999692805888615e-05,0.013,0.00023216425957610907,15070281.678753857,15070289.213431746
Chavannes-sur-Moudon,CH,1684894,5665,2222,22,0.9996541677352059,0.006152041456800983,3.331,0.03458814354017837,5148147.244696513,5147830.528543762
Oberdiessbach,CH,3411235,619,246,2,0.9999963598629003,1.716587992986655e-05,0.495,0.00036401440388725634,16464047.765450545,16464050.591649216
Rain,CH,1682907,1037,313,3,0.9999950761558469,6.315577454047287e-05,0.016,0.000492385783109852,9423561.666638993,9423567.618162353
Stadel,CH,1682210,100,104,1,0.9999965134123437,1.2059574913819636e-05,0.014,0.00034865939441688205,12885646.164937468,12885647.71889162
Abtwil,CH,1684253,4221,1908,19,0.9999937470085809,0.00010384931629528056,0.017,0.0006253007720508189,4136312.8844301132,4136308.588897463
Thayngen,CH,1683713,2920,1402,14,0.9998727749963872,0.009827530680426399,1.672,0.012723934916335888,19924449.941625733,19926408.023056652
Serravalle,CH,2569271,5050,2102,21,0.999998570511046,9.149194602964653e-06,0.016,0.00014294900402150783,96801021.42727794,96801030.28379177
Giornico,CH,1684678,5073,2103,21,0.999996822533838,4.1836344667795265e-05,0.016,0.0003177471875039405,25995542.59855818,25995553.47414298
Thal,CH,1683948,3237,1722,17,0.9999954511486102,8.980916263759613e-06,0.016,0.0004548861533060029,9685894.030494476,9685893.160612443
Ursenbach,CH,1682701,344,244,2,0.999995421017541,5.780431419516783e-06,0.015,0.00045789928117317036,9170471.193268493,9170470.663175695
Bofflens,CH,1684857,5747,2224,22,0.999520777684845,0.01192621333592064,3.182,0.047930858629866985,4206756.872855468,4206255.1660562875
Saint-Livres,CH,1685137,5435,2227,22,0.9999956952479527,3.208910203487603e-05,0.014,0.0004304762002909478,8123026.592561031,8123029.199167322
Ruggell,LI,1155950,7010,,,0.999994723755528,5.958350406273325e-05,0.015,0.000527625996334869,7377791.9097229885,7377796.305669931
Lohn (SH),CH,1683671,2917,1402,14,0.9999942477876198,0.0001607948139847533,0.013,0.0005752224299084034,4866151.003478914,4866143.178960459
