name,bfs_nummer,status,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area
Mézières (FR),2087,https://osm.org/relation/1683372,0.2887447379225764,70.91634926736224,884.9352943058907,71.24097048089739,8926625.016563796,2596188.4420296834
Schaffhausen,2939,https://osm.org/relation/1683703,0.04683034374859165,76.90027777712848,351.86016958402524,112.08589874807502,41845845.90322067,9666274.165454838
Quarten,3295,https://osm.org/relation/1683920,0.06092878222730385,62.19080771832813,887.0347313895085,121.98052139233609,73210401.55346027,27680261.49353188
Hergiswil (NW),1507,https://osm.org/relation/1683080,0.19694700149713218,64.12753172871982,118.0888852850655,91.15925176533221,16993149.000840284,6095861.983617797
Frauenkappelen,663,https://osm.org/relation/1682444,0.11411619255876813,86.52063741312955,344.1994895033957,90.2325363062697,9288071.178279812,1251972.7914469456
Amden,3311,https://osm.org/relation/1683858,0.04251548941264867,86.67857217571877,1311.2890518122515,104.07856090514574,47618317.31928456,6343439.772825706
Gansingen,4164,https://osm.org/relation/1684314,0.3950861951657849,60.29386622247564,215.25423187685888,60.57702329424788,8772862.685874114,3483364.594171691
Orny,5493,https://osm.org/relation/1685084,0.14614361300120446,70.05508247726247,148.7138598252716,96.8066274821205,5549574.918092413,1661815.6320853014
Künten,4031,https://osm.org/relation/1684345,0.08059016313624456,79.78662689544403,218.0088963093931,102.28240226999141,4891175.1631056,988671.4849159084
Leutwil,4138,https://osm.org/relation/1684353,0.13695528232305604,84.45726094260803,241.70992162684536,87.70666020009261,3746032.1139965947,582235.9964845949
Walliswil bei Wangen,991,https://osm.org/relation/1682713,0.09042735016005674,88.43377754480903,358.96792725230495,93.06221508136471,3071812.6338045355,355292.68263249315
Baulmes,5745,https://osm.org/relation/1684843,0.019027596539983014,67.64942410800194,1068.9308804824914,127.40799461459349,22501925.028945472,7279502.3336495105
Sion,6266,https://osm.org/relation/2757528,0.0507817123346391,90.57195397415276,704.5471419784421,98.85126592129109,34861155.38845772,3286725.77516592
Langrickenbach,4681,https://osm.org/relation/1684538,0.0237747076815392,75.93385372506641,583.3697854745933,118.30386998752608,10826301.002482196,2605473.435421966
