Name,Country,OSM Relation,BFS Number,Bezirksnummer,Kantonsnummer,IoU,Area Diff [%],Hausdorff Distance [m],Symmetric Diff [%],Area swisstopo [m²],Area OSM [m²]
Künten,CH,1684345,4031,1902,19,0.9999942946363165,1.4166007474485274e-05,0.014,0.000570537955243941,4891175.1577484915,4891174.464864253
Leutwil,CH,1684353,4138,1905,19,0.9999944597326482,1.6837005252848112e-05,0.015,0.0005540282231249907,3746032.1095764246,3746031.4788568015
Walliswil bei Wangen,CH,1682713,991,244,2,0.9985227013155858,0.05140123347543501,3.001,0.14787706522580052,3071812.6300695003,3073391.57965141
Baulmes,CH,1684843,5745,2224,22,0.9999969600668702,6.402204870876402e-05,0.013,0.00030399387228370974,22501924.998638745,22501939.40483213
Sion,CH,2757528,6266,2312,23,0.9999979621895843,4.3945018719066195e-07,0.016,0.00020378124959295456,34863829.66818103,34863829.8213902
Langrickenbach,CH,1684538,4681,2013,20,0.998578748030574,0.02934704021595958,4.105,0.14220539702345317,10826300.991587393,10823123.792681491
Oensingen,CH,1683565,2407,1101,11,0.9999959367659526,2.0484216228354323e-05,0.014,0.0004063242717909191,12105841.676709691,12105844.156496476
Titterten,CH,1683716,2894,1305,13,0.9995262968384436,0.044625853142609466,2.778,0.047392110755846345,3711079.5228089946,3712735.623706849
Unterlunkhofen,CH,1684448,4079,1903,19,0.9999923802230931,3.430296512692295e-05,0.015,0.0007619804628826597,4487647.534165759,4487645.99476959
Rechthalten,CH,1683385,2301,1006,10,0.999995802953772,8.360704974575129e-05,0.015,0.0004197056788680079,7305729.349988037,7305735.458092809
Aeschi (SO),CH,1683474,2511,1106,11,0.9981737919138811,0.03250717903839617,6.349,0.18281742237596718,5476719.0615910385,5478499.38846182
Cortaillod,CH,1685476,6408,,24,0.999993202153851,7.312911455601734e-05,0.015,0.0006797866767831027,3697260.0312420833,3697257.3274685596
Mumpf,CH,1684369,4255,1909,19,0.9999921635900845,4.752005160319414e-05,0.012,0.0007836438759182711,3136162.5138230193,3136161.0235169744
Dietwil,CH,1684292,4231,1908,19,0.9999948534703494,3.6467398339209764e-05,0.016,0.0005146543831027651,5491952.143803347,5491954.146575412
Flumenthal,CH,1683505,2545,1107,11,0.9984778262807925,0.010208659577442308,3.273,0.15234108639642635,3105947.717275366,3106264.792904476
Davos,CH,1684068,3851,1849,18,0.9999992610259516,7.026938813463457e-06,0.016,7.389742948444557e-05,284001810.4379151,284001790.48128164
Pieterlen,CH,1682605,392,242,2,0.9999959033381447,1.629365139825674e-05,0.015,0.00040966699121443284,8354631.304577433,8354629.943302932
Küttigen,CH,1684346,4008,1901,19,0.9999970846230319,5.669673331274864e-06,0.016,0.0002915381300630299,11894822.423323378,11894823.097720953
Mont-Vully,CH,5817420,2284,1005,10,0.9996542022947352,0.0008904122090178039,2.966,0.03458590434102529,24336941.49937409,24337158.198472504
Mammern,CH,1684541,4826,2012,20,0.9978957199226081,0.010931434779859086,4.013,0.2106611541743925,5455630.215619006,5456226.594277857
Vufflens-le-Château,CH,1685199,5653,2227,22,0.9999903423899102,0.0002490659127320604,0.018,0.0009657644696846529,2134530.101144495,2134524.784757616
Tolochenaz,CH,1685164,5649,2227,22,0.9991783995446972,0.027690568445349197,7.74,0.08218243079971131,5600565.138752958,5599014.310429885
Avegno Gordevio,CH,1684620,5324,2108,21,0.9999977013918884,4.0751302838658525e-05,0.016,0.00022986112218801252,27332305.65451448,27332316.79278513
Braunau,CH,1684510,4723,2014,20,0.9993026431297172,0.03220732124502349,3.509,0.0697487769242537,9170493.235630974,9167539.665414821
Champéry,CH,1685287,6151,2308,23,0.9999981635328303,2.169849281370269e-05,0.015,0.00018364686570176826,38845518.49352269,38845510.06463065
Acquarossa,CH,1684610,5048,2102,21,0.9999982667202016,2.009815802352192e-05,0.015,0.00017332811275452552,61782519.66719171,61782507.25004327
Inwil,CH,1682882,1033,313,3,0.9991678357404591,0.008105840071199395,3.133,0.08324769113540471,10317105.416156316,10316269.128091305
Bernex,CH,1685451,6607,,25,0.9999959412891735,1.3556007977151067e-05,0.015,0.0004058718787699564,12954228.936182452,12954227.180106144
Commugny,CH,1684914,5711,2228,22,0.9999948697864618,6.43572615946221e-05,0.015,0.0005130228348768068,6528818.856711662,6528823.058480693
Wiesendangen,CH,3411226,298,110,1,0.9994359037942889,0.014520573969312604,3.498,0.05642143863052509,19174516.670451887,19171732.420575496
Yvonand,CH,1685207,5939,2224,22,0.9999212755311544,0.005706695859330122,3.293,0.007872981411001888,20826438.966450814,20827627.46798096
Benken (ZH),CH,1682088,22,102,1,0.9999946170662889,5.783507252330749e-05,0.014,0.0005382946643599652,5656994.136288582,5656990.864561921
Cornaux,CH,1685474,6451,,24,0.9995644344296128,0.01445377604748607,3.807,0.04356919344259677,4727198.484408529,4727881.743090785
Hirschthal,CH,1684328,4007,1901,19,0.9999931692400316,5.3539018274643744e-05,0.015,0.0006830781467940839,3530060.2313570436,3530058.3413974512
Essertines-sur-Yverdon,CH,1684966,5520,2223,22,0.9999957064318092,3.072166009332302e-05,0.016,0.0004293578068115204,9754557.249477975,9754560.246239897
